	記号,一般,*,*,*,*,*
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
ん	名詞,非自立,一般,*,*,*,ん,ン,ン
だ	助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド
財布	名詞,一般,*,*,*,*,財布,サイフ,サイフ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
中身	名詞,一般,*,*,*,*,中身,ナカミ,ナカミ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
底辺	名詞,一般,*,*,*,*,底辺,テイヘン,テイヘン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
近づい	動詞,自立,*,*,五段・カ行イ音便,連用タ接続,近づく,チカヅイ,チカズイ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ
箱根	名詞,固有名詞,地域,一般,*,*,箱根,ハコネ,ハコネ
or	名詞,固有名詞,組織,*,*,*,*
軽井沢	名詞,固有名詞,地域,一般,*,*,軽井沢,カルイザワ,カルイザワ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
働く	動詞,自立,*,*,五段・カ行イ音便,基本形,働く,ハタラク,ハタラク
ん	名詞,非自立,一般,*,*,*,ん,ン,ン
だ	助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド
なかなか	副詞,助詞類接続,*,*,*,*,なかなか,ナカナカ,ナカナカ
話	名詞,サ変接続,*,*,*,*,話,ハナシ,ハナシ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
進ま	動詞,自立,*,*,五段・マ行,未然形,進む,ススマ,ススマ
ず	助動詞,*,*,*,特殊・ヌ,連用ニ接続,ぬ,ズ,ズ
旅	名詞,サ変接続,*,*,*,*,旅,タビ,タビ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
滞っ	動詞,自立,*,*,五段・ラ行,連用タ接続,滞る,トドコオッ,トドコーッ
てる	動詞,非自立,*,*,一段,基本形,てる,テル,テル
アホ	名詞,一般,*,*,*,*,アホ,アホ,アホ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
アカウント	名詞,一般,*,*,*,*,アカウント,アカウント,アカウント
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
こちら	名詞,代名詞,一般,*,*,*,こちら,コチラ,コチラ
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス
。	記号,句点,*,*,*,*,。,。,。
先	名詞,一般,*,*,*,*,先,サキ,サキ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
考え	動詞,自立,*,*,一段,連用形,考える,カンガエ,カンガエ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
出し惜しみ	名詞,固有名詞,一般,*,*,*,出し惜しみ,ダシオシミ,ダシオシミ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
より	助詞,格助詞,一般,*,*,*,より,ヨリ,ヨリ
も	助詞,係助詞,*,*,*,*,も,モ,モ
、	記号,読点,*,*,*,*,、,、,、
経験	名詞,サ変接続,*,*,*,*,経験,ケイケン,ケイケン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
買っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,買う,カッ,カッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
生き	動詞,自立,*,*,一段,未然形,生きる,イキ,イキ
なきゃ	助動詞,*,*,*,特殊・ナイ,仮定縮約２,ない,ナキャ,ナキャ
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ
。	記号,句点,*,*,*,*,。,。,。
#	記号,一般,*,*,*,*,*
赤	名詞,一般,*,*,*,*,赤,アカ,アカ
バンダナ	名詞,固有名詞,一般,*,*,*,バンダナ,バンダナ,バンダナ
旅	名詞,サ変接続,*,*,*,*,旅,タビ,タビ
だめ	名詞,形容動詞語幹,*,*,*,*,だめ,ダメ,ダメ
だって	助詞,副助詞,*,*,*,*,だって,ダッテ,ダッテ
わかっ	動詞,自立,*,*,五段・ラ行,連用タ接続,わかる,ワカッ,ワカッ
てる	動詞,非自立,*,*,一段,基本形,てる,テル,テル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
ちゃっ	動詞,非自立,*,*,五段・ワ行促音便,連用タ接続,ちゃう,チャッ,チャッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
いっ	動詞,非自立,*,*,五段・カ行促音便,連用タ接続,いく,イッ,イッ
ちゃっ	動詞,非自立,*,*,五段・ワ行促音便,連用タ接続,ちゃう,チャッ,チャッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
自分	名詞,一般,*,*,*,*,自分,ジブン,ジブン
ばっかり	助詞,副助詞,*,*,*,*,ばっかり,バッカリ,バッカリ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
、	記号,読点,*,*,*,*,、,、,、
でも	接続詞,*,*,*,*,*,でも,デモ,デモ
嬉しく	形容詞,自立,*,*,形容詞・イ段,連用テ接続,嬉しい,ウレシク,ウレシク
て	助詞,接続助詞,*,*,*,*,て,テ,テ
。	記号,句点,*,*,*,*,。,。,。
ほんと	感動詞,*,*,*,*,*,ほんと,ホント,ホント
どー	副詞,助詞類接続,*,*,*,*,どー,ドー,ドー
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
よ	助詞,終助詞,*,*,*,*,よ,ヨ,ヨ
。	記号,句点,*,*,*,*,。,。,。
ミリオン	名詞,一般,*,*,*,*,ミリオン,ミリオン,ミリオン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
39	名詞,数,*,*,*,*,*
degrees	名詞,固有名詞,組織,*,*,*,*
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ
すごい	形容詞,自立,*,*,形容詞・アウオ段,基本形,すごい,スゴイ,スゴイ
な	助詞,終助詞,*,*,*,*,な,ナ,ナ
てか	接続詞,*,*,*,*,*,てか,テカ,テカ
、	記号,読点,*,*,*,*,、,、,、
明日	名詞,副詞可能,*,*,*,*,明日,アシタ,アシタ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
ディジー	名詞,固有名詞,人名,一般,*,*,DIZZY,ディジー,ディジー
と	助詞,並立助詞,*,*,*,*,と,ト,ト
スカラッパー	名詞,固有名詞,人名,一般,*,*,SKALAPPER,スカラッパー,スカラッパー
出る	動詞,自立,*,*,一段,基本形,出る,デル,デル
の	名詞,非自立,一般,*,*,*,の,ノ,ノ
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
すみません	感動詞,*,*,*,*,*,すみません,スミマセン,スミマセン
冗談	名詞,一般,*,*,*,*,冗談,ジョウダン,ジョーダン
…	記号,一般,*,*,*,*,…,…,…
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
も	助詞,係助詞,*,*,*,*,も,モ,モ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
(^_^;)	記号,一般,*,*,*,*,(^_^;),カオモジ,カオモジ
#	記号,一般,*,*,*,*,*
まゆ	名詞,一般,*,*,*,*,まゆ,マユ,マユ
ヲタフェス	名詞,一般,*,*,*,*,*
バルトラ	名詞,固有名詞,人名,一般,*,*,バルトラ,バルトラ,バルトラ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
ドルトムント	名詞,固有名詞,地域,一般,*,*,ドルトムント,ドルトムント,ドルトムント
行っ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ
ちゃっ	動詞,非自立,*,*,五段・ワ行促音便,連用タ接続,ちゃう,チャッ,チャッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
ー	名詞,一般,*,*,*,*,*
ツイキャス	名詞,固有名詞,一般,*,*,*,ツイキャス,ツイキャス,ツイキャス
やっ	動詞,自立,*,*,五段・ラ行,連用タ接続,やる,ヤッ,ヤッ
てる	動詞,非自立,*,*,一段,基本形,てる,テル,テル
人	名詞,一般,*,*,*,*,人,ヒト,ヒト
CAS	名詞,一般,*,*,*,*,*
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
てる	動詞,非自立,*,*,一段,基本形,てる,テル,テル
時見	名詞,固有名詞,人名,姓,*,*,時見,トキミ,トキミ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
行く	動詞,自立,*,*,五段・カ行促音便,基本形,行く,イク,イク
ん	名詞,非自立,一般,*,*,*,ん,ン,ン
で	助詞,格助詞,一般,*,*,*,で,デ,デ
教え	動詞,自立,*,*,一段,連用形,教える,オシエ,オシエ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
く	動詞,非自立,*,*,五段・カ行促音便,基本形,く,ク,ク
ださいー	形容詞,自立,*,*,形容詞・アウオ段,基本形,ださい,ダサイー,ダサイー
最終	名詞,一般,*,*,*,*,最終,サイシュウ,サイシュー
選考	名詞,サ変接続,*,*,*,*,選考,センコウ,センコー
まで	助詞,副助詞,*,*,*,*,まで,マデ,マデ
いっ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,いう,イッ,イッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
のに	助詞,接続助詞,*,*,*,*,のに,ノニ,ノニ
落ちる	動詞,自立,*,*,一段,基本形,落ちる,オチル,オチル
と	助詞,接続助詞,*,*,*,*,と,ト,ト
メンタル	名詞,形容動詞語幹,*,*,*,*,メンタル,メンタル,メンタル
倍	名詞,一般,*,*,*,*,倍,バイ,バイ
やら	動詞,自立,*,*,五段・ラ行,未然形,やる,ヤラ,ヤラ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ
🙏	記号,一般,*,*,*,*,合掌,ガッショウ,ガッショー
最終	名詞,一般,*,*,*,*,最終,サイシュウ,サイシュー
選考	名詞,サ変接続,*,*,*,*,選考,センコウ,センコー
で	助詞,格助詞,一般,*,*,*,で,デ,デ
落ち	動詞,自立,*,*,一段,連用形,落ちる,オチ,オチ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
o	名詞,一般,*,*,*,*,*
酔っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,酔う,ヨッ,ヨッ
てる	動詞,非自立,*,*,一段,基本形,てる,テル,テル
時	名詞,非自立,副詞可能,*,*,*,時,トキ,トキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
トランシュケークショコラ	名詞,一般,*,*,*,*,*
しか	助詞,係助詞,*,*,*,*,しか,シカ,シカ
クソ	接頭詞,形容詞接続,*,*,*,*,クソ,クソ,クソ
うまい	形容詞,自立,*,*,形容詞・アウオ段,基本形,うまい,ウマイ,ウマイ
蛭子	名詞,固有名詞,人名,姓,*,*,蛭子,エビス,エビス
ｗｗｗ	名詞,固有名詞,組織,*,*,*,*
#	記号,一般,*,*,*,*,*
stvradio	名詞,固有名詞,組織,*,*,*,*
#	記号,一般,*,*,*,*,*
ぽっぷ	名詞,形容動詞語幹,*,*,*,*,ポップ,ポップ,ポップ
ん	助詞,格助詞,一般,*,*,*,ん,ン,ン
ろーる	名詞,サ変接続,*,*,*,*,ロール,ロール,ロール
いい	形容詞,自立,*,*,形容詞・イイ,基本形,いい,イイ,イイ
で	助詞,接続助詞,*,*,*,*,で,デ,デ
すか～	副詞,一般,*,*,*,*,すかー,スカー,スカー
(*｀Д´)ノ！！！	記号,一般,*,*,*,*,(*｀Д´)ノ！！！,カオモジ,カオモジ
とにかく	副詞,一般,*,*,*,*,とにかく,トニカク,トニカク
、	記号,読点,*,*,*,*,、,、,、
自由民主党	名詞,固有名詞,組織,*,*,*,自由民主党,ジユウミンシュトウ,ジユーミンシュトー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
参議	名詞,一般,*,*,*,*,参議,サンギ,サンギ
院	名詞,接尾,一般,*,*,*,院,イン,イン
で	助詞,格助詞,一般,*,*,*,で,デ,デ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
単独過半数	名詞,固有名詞,一般,*,*,*,単独過半数,タンドクカハンスウ,タンドクカハンスー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
阻止	名詞,サ変接続,*,*,*,*,阻止,ソシ,ソシ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
ため	名詞,非自立,副詞可能,*,*,*,ため,タメ,タメ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
自民党	名詞,固有名詞,組織,*,*,*,自民党,ジミントウ,ジミントー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
非	接頭詞,名詞接続,*,*,*,*,非,ヒ,ヒ
改選	名詞,サ変接続,*,*,*,*,改選,カイセン,カイセン
65	名詞,数,*,*,*,*,*
+	記号,一般,*,*,*,*,*
改選	名詞,サ変接続,*,*,*,*,改選,カイセン,カイセン
57	名詞,数,*,*,*,*,*
、	記号,読点,*,*,*,*,、,、,、
(；゜∀゜)	記号,一般,*,*,*,*,(；゜∀゜),カオモジ,カオモジ
だから	接続詞,*,*,*,*,*,だから,ダカラ,ダカラ
、	記号,読点,*,*,*,*,、,、,、
57人	名詞,固有名詞,一般,*,*,*,57人,ゴジュウシチニン,ゴジュウシチニン
未満	名詞,接尾,一般,*,*,*,未満,ミマン,ミマン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
す	動詞,自立,*,*,サ変・スル,文語基本形,する,ス,ス
べき	助動詞,*,*,*,文語・ベシ,体言接続,べし,ベキ,ベキ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
の	名詞,非自立,一般,*,*,*,の,ノ,ノ
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス
。	記号,句点,*,*,*,*,。,。,。
(^o^ゞ	記号,一般,*,*,*,*,(^o^ゞ,カオモジ,カオモジ
う	感動詞,*,*,*,*,*,う,ウ,ウ
ぜー	副詞,一般,*,*,*,*,ぜー,ゼー,ゼー
。	記号,句点,*,*,*,*,。,。,。
ボーッと	副詞,一般,*,*,*,*,ボーッと,ボーット,ボーット
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	動詞,非自立,*,*,一段,連用形,てる,テ,テ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
田園都市	名詞,固有名詞,一般,*,*,*,田園都市,デンエントシ,デンエントシ
線	名詞,接尾,一般,*,*,*,線,セン,セン
各駅停車	名詞,固有名詞,一般,*,*,*,各駅停車,カクエキテイシャ,カクエキテイシャ
乗っ	動詞,自立,*,*,五段・ラ行,連用タ接続,乗る,ノッ,ノッ
ちまっ	動詞,非自立,*,*,五段・ワ行促音便,連用タ接続,ちまう,チマッ,チマッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
わ	助詞,終助詞,*,*,*,*,わ,ワ,ワ
。	記号,句点,*,*,*,*,。,。,。
降り	動詞,自立,*,*,一段,連用形,降りる,オリ,オリ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
乗り換えよ	動詞,自立,*,*,一段,未然ウ接続,乗り換える,ノリカエヨ,ノリカエヨ
う	助動詞,*,*,*,不変化型,基本形,う,ウ,ウ
。	記号,句点,*,*,*,*,。,。,。
どこ	名詞,代名詞,一般,*,*,*,どこ,ドコ,ドコ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
降りよ	動詞,自立,*,*,一段,未然ウ接続,降りる,オリヨ,オリヨ
う	助動詞,*,*,*,不変化型,基本形,う,ウ,ウ
どこ	名詞,代名詞,一般,*,*,*,どこ,ドコ,ドコ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
いい	形容詞,自立,*,*,形容詞・イイ,基本形,いい,イイ,イイ
ん	名詞,非自立,一般,*,*,*,ん,ン,ン
だろ	助動詞,*,*,*,特殊・ダ,未然形,だ,ダロ,ダロ
。	記号,句点,*,*,*,*,。,。,。
7	名詞,数,*,*,*,*,*
/	記号,一般,*,*,*,*,*
22	名詞,数,*,*,*,*,*
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
…	記号,一般,*,*,*,*,…,…,…
ヘッドライナー	名詞,固有名詞,一般,*,*,*,HEADL_NER,ヘッドライナー,ヘッドライナー
やばい	形容詞,自立,*,*,形容詞・アウオ段,基本形,やばい,ヤバイ,ヤバイ
わ	助詞,終助詞,*,*,*,*,わ,ワ,ワ
♬	記号,一般,*,*,*,*,*
#	記号,一般,*,*,*,*,*
フジロック	名詞,固有名詞,一般,*,*,*,FUJI ROCK,フジロック,フジロック
#	記号,一般,*,*,*,*,*
休み	動詞,自立,*,*,五段・マ行,連用形,休む,ヤスミ,ヤスミ
取れる	動詞,自立,*,*,一段,基本形,取れる,トレル,トレル
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
微妙	名詞,形容動詞語幹,*,*,*,*,微妙,ビミョウ,ビミョー
#	記号,一般,*,*,*,*,*
今さら	名詞,副詞可能,*,*,*,*,今さら,イマサラ,イマサラ
申告	名詞,サ変接続,*,*,*,*,申告,シンコク,シンコク
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
にくい	形容詞,非自立,*,*,形容詞・アウオ段,基本形,にくい,ニクイ,ニクイ
#	記号,一般,*,*,*,*,*
すで	名詞,一般,*,*,*,*,素手,スデ,スデ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
諦め	動詞,自立,*,*,一段,連用形,諦める,アキラメ,アキラメ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
方向	名詞,一般,*,*,*,*,方向,ホウコウ,ホーコー
ふーん	感動詞,*,*,*,*,*,ふーん,フーン,フーン
ファウル	名詞,サ変接続,*,*,*,*,ファウル,ファウル,ファウル
訴訟	名詞,サ変接続,*,*,*,*,訴訟,ソショウ,ソショー
球団側	名詞,固有名詞,一般,*,*,*,球団側,キュウダンガワ,キューダンガワ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
支払い	名詞,一般,*,*,*,*,支払い,シハライ,シハライ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
決着	名詞,サ変接続,*,*,*,*,決着,ケッチャク,ケッチャク
かー	名詞,一般,*,*,*,*,カー,カー,カー
そ	名詞,特殊,助動詞語幹,*,*,*,そ,ソ,ソ
ー	名詞,一般,*,*,*,*,*
かそ	動詞,自立,*,*,五段・サ行,未然ウ接続,かす,カソ,カソ
ー	名詞,一般,*,*,*,*,*
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
野球場	名詞,固有名詞,一般,*,*,*,野球場,ヤキュウジョウ,ヤキュージョー
で	助詞,格助詞,一般,*,*,*,で,デ,デ
よそ見	名詞,一般,*,*,*,*,よそ見,ヨソミ,ヨソミ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	動詞,非自立,*,*,一段,連用形,てる,テ,テ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
怪我	名詞,サ変接続,*,*,*,*,怪我,ケガ,ケガ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ
お金	名詞,一般,*,*,*,*,お金,オカネ,オカネ
もらえる	動詞,自立,*,*,一段,基本形,もらえる,モラエル,モラエル
の	名詞,非自立,一般,*,*,*,の,ノ,ノ
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
、	記号,読点,*,*,*,*,、,、,、
ふーん	感動詞,*,*,*,*,*,ふーん,フーン,フーン
いや	感動詞,*,*,*,*,*,いや,イヤ,イヤ
！	記号,一般,*,*,*,*,！,！,！
デットプール	名詞,一般,*,*,*,*,*
見	動詞,自立,*,*,一段,連用形,見る,ミ,ミ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
行こ	動詞,自立,*,*,五段・カ行促音便,未然ウ接続,行く,イコ,イコ
う	助動詞,*,*,*,不変化型,基本形,う,ウ,ウ
！	記号,一般,*,*,*,*,！,！,！
火曜	名詞,副詞可能,*,*,*,*,火曜,カヨウ,カヨー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
昼	名詞,副詞可能,*,*,*,*,昼,ヒル,ヒル
デットプール	名詞,一般,*,*,*,*,*
見	動詞,自立,*,*,一段,連用形,見る,ミ,ミ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
やっ	動詞,非自立,*,*,五段・ラ行,連用タ接続,やる,ヤッ,ヤッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
も	助詞,係助詞,*,*,*,*,も,モ,モ
いい	形容詞,非自立,*,*,形容詞・イイ,基本形,いい,イイ,イイ
よ	助詞,終助詞,*,*,*,*,よ,ヨ,ヨ
？	記号,一般,*,*,*,*,？,？,？
って	助詞,格助詞,連語,*,*,*,って,ッテ,ッテ
方	名詞,固有名詞,人名,姓,*,*,方,ホウ,ホー
三井住友銀行	名詞,固有名詞,組織,*,*,*,三井住友銀行,ミツイスミトモギンコウ,ミツイスミトモギンコー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
人	名詞,一般,*,*,*,*,人,ヒト,ヒト
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
母子	名詞,一般,*,*,*,*,母子,ボシ,ボシ
二人	名詞,一般,*,*,*,*,二人,フタリ,フタリ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
そんな	連体詞,*,*,*,*,*,そんな,ソンナ,ソンナ
広い	形容詞,自立,*,*,形容詞・アウオ段,基本形,広い,ヒロイ,ヒロイ
土地	名詞,一般,*,*,*,*,土地,トチ,トチ
いら	動詞,自立,*,*,五段・ラ行,未然形,いる,イラ,イラ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
っしょ	助動詞,*,*,*,特殊・デス,未然形,っす,ッショ,ッショ
？	記号,一般,*,*,*,*,？,？,？
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ
に	助詞,副詞化,*,*,*,*,に,ニ,ニ
中学生	名詞,一般,*,*,*,*,中学生,チュウガクセイ,チューガクセイ
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
聞か	動詞,自立,*,*,五段・カ行イ音便,未然形,聞く,キカ,キカ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
んで	助詞,接続助詞,*,*,*,*,んで,ンデ,ンデ
ムッと	副詞,一般,*,*,*,*,ムッと,ムット,ムット
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
家	名詞,一般,*,*,*,*,家,イエ,イエ
一個	名詞,一般,*,*,*,*,一個,イッコ,イッコ
ぶっ	接頭詞,動詞接続,*,*,*,*,ぶっ,ブッ,ブッ
壊し	動詞,自立,*,*,五段・サ行,連用形,壊す,コワシ,コワシ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
そこ	名詞,代名詞,一般,*,*,*,そこ,ソコ,ソコ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
真っ赤	名詞,形容動詞語幹,*,*,*,*,真っ赤,マッカ,マッカ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
薔薇	名詞,一般,*,*,*,*,薔薇,バラ,バラ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
デカイ	形容詞,自立,*,*,形容詞・アウオ段,基本形,でかい,デカイ,デカイ
アメ車	名詞,固有名詞,一般,*,*,*,アメ車,アメシャ,アメシャ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
入れる	動詞,自立,*,*,一段,基本形,入れる,イレル,イレル
と	助詞,格助詞,引用,*,*,*,と,ト,ト
言お	動詞,自立,*,*,五段・ワ行促音便,未然ウ接続,言う,イオ,イオ
う	助動詞,*,*,*,不変化型,基本形,う,ウ,ウ
と	助詞,格助詞,引用,*,*,*,と,ト,ト
思っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,思う,オモッ,オモッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
ん	名詞,非自立,一般,*,*,*,ん,ン,ン
だ	助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ
が	助詞,接続助詞,*,*,*,*,が,ガ,ガ
自分	名詞,一般,*,*,*,*,自分,ジブン,ジブン
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
大人	名詞,一般,*,*,*,*,大人,オトナ,オトナ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
んで	助詞,接続助詞,*,*,*,*,んで,ンデ,ンデ
今年	名詞,副詞可能,*,*,*,*,今年,コトシ,コトシ
中	名詞,接尾,副詞可能,*,*,*,中,チュウ,チュー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
結婚	名詞,サ変接続,*,*,*,*,結婚,ケッコン,ケッコン
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
子供	名詞,一般,*,*,*,*,子供,コドモ,コドモ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
三人	名詞,固有名詞,一般,*,*,*,3人,サンニン,サンニン,[:_:502	497	8142]
作る	動詞,自立,*,*,五段・ラ行,基本形,作る,ツクル,ツクル
予定	名詞,サ変接続,*,*,*,*,予定,ヨテイ,ヨテイ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
ん	名詞,非自立,一般,*,*,*,ん,ン,ン
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス
！	記号,一般,*,*,*,*,！,！,！
といった	助詞,格助詞,連語,*,*,*,といった,トイッタ,トイッタ
ん	名詞,非自立,一般,*,*,*,ん,ン,ン
だ	助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ
が	助詞,接続助詞,*,*,*,*,が,ガ,ガ
どうも	副詞,一般,*,*,*,*,どうも,ドウモ,ドーモ
伝わら	動詞,自立,*,*,五段・ラ行,未然形,伝わる,ツタワラ,ツタワラ
なかっ	助動詞,*,*,*,特殊・ナイ,連用タ接続,ない,ナカッ,ナカッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
よう	名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー
だ	助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ
だれ	名詞,代名詞,一般,*,*,*,だれ,ダレ,ダレ
かー	名詞,一般,*,*,*,*,カー,カー,カー
火曜	名詞,副詞可能,*,*,*,*,火曜,カヨウ,カヨー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
お	接頭詞,名詞接続,*,*,*,*,お,オ,オ
昼ご飯	名詞,固有名詞,一般,*,*,*,昼ご飯,ヒルゴハン,ヒルゴハン
食べ	動詞,自立,*,*,一段,連用形,食べる,タベ,タベ
い	動詞,非自立,*,*,一段,連用形,いる,イ,イ
こー	副詞,一般,*,*,*,*,こー,コー,コー
１	名詞,数,*,*,*,*,１,イチ,イチ
０	名詞,数,*,*,*,*,０,ゼロ,ゼロ
０	名詞,数,*,*,*,*,０,ゼロ,ゼロ
平米	名詞,接尾,助数詞,*,*,*,平米,ヘイベイ,ヘーベー
ちょい	副詞,助詞類接続,*,*,*,*,ちょい,チョイ,チョイ
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ
埼玉	名詞,固有名詞,地域,一般,*,*,埼玉,サイタマ,サイタマ
